Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,OpponentPull,Anonymous,Anonymous,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,0,Endzone B,0.390,0.551,Field,0.068,0.221,yds,84.2,17.6,-82.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,B Hart,A Brown,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,9,Field,0.070,0.226,Field,0.114,0.525,yds,16.3,15.9,3.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,A Brown,Animal,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,13,Field,0.114,0.525,Field,0.376,0.310,yds,23.9,11.5,20.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,Animal,Cooli,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,17,Field,0.376,0.310,Field,0.265,0.310,yds,8.9,0.0,-8.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,Cooli,A Brown,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,21,Field,0.265,0.310,Field,0.350,0.210,yds,8.7,5.3,6.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,A Brown,Animal,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,25,Field,0.350,0.210,Field,0.254,0.494,yds,17.0,15.2,-7.7,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,Animal,C Camp,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,29,Field,0.254,0.494,Field,0.338,0.721,yds,13.8,12.1,6.6,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,C Camp,Cooli,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,33,Field,0.338,0.721,Field,0.498,0.739,yds,12.9,1.0,12.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,Cooli,P Shriwi,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,37,Field,0.498,0.739,Field,0.623,0.735,yds,10.0,0.3,10.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,55,O,1,0,Offense,Catch,P Shriwi,D Wise,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,41,Field,0.623,0.735,Field,0.552,0.542,yds,11.8,10.3,-5.7,
