Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,OpponentPull,Anonymous,Anonymous,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,0,Endzone A,0.981,0.679,Field,0.845,0.182,yds,73.0,26.5,-68.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Cao C,Joye A,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,10,Field,0.847,0.179,Field,0.785,0.371,yds,11.4,10.3,4.9,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Joye A,Norden J,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,16,Field,0.785,0.371,Field,0.804,0.656,yds,15.2,15.2,-1.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Norden J,Sanche M,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,20,Field,0.804,0.656,Field,0.616,0.386,yds,20.8,14.4,15.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Sanche M,Joye A,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,26,Field,0.616,0.386,Field,0.803,0.510,yds,16.3,6.6,-14.9,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Joye A,Kittre B,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,33,Field,0.803,0.510,Field,0.611,0.448,yds,15.7,3.3,15.3,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Drop,Kittre B,Johnso C,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,40,Field,0.611,0.448,Field,0.540,0.255,yds,11.7,10.3,5.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Defense,Throwaway,,,Anonymous,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,88,Field,0.478,0.082,Field,0.690,0.787,yds,41.3,37.6,-17.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Joye A,Kittre B,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,93,Field,0.678,0.777,Field,0.621,0.600,yds,10.5,9.5,4.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Kittre B,Norden J,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,97,Field,0.621,0.600,Field,0.612,0.419,yds,9.7,9.7,0.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Catch,Norden J,Sanche M,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,101,Field,0.612,0.419,Field,0.431,0.374,yds,14.7,2.4,14.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,109,O,1,0,Offense,Goal,Sanche M,Kittre B,,,Ham S,Kittre B,Cao C,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,107,Field,0.431,0.374,Endzone A,0.706,0.237,yds,41.0,7.3,40.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,55,D,2,0,Defense,PullOb,,,Wynne R,,Klevec A,Crawfo M,Kittre B,Marcy J,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,172,Endzone A,0.930,0.575,Field,0.897,0.000,yds,79.3,30.7,73.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,55,D,2,0,Defense,Throwaway,,,Anonymous,,Klevec A,Crawfo M,Kittre B,Marcy J,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,211,Field,0.756,0.487,Field,0.879,0.489,yds,9.8,0.1,9.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,55,D,2,0,Offense,Goal,Zaccar S,Wynne R,,,Klevec A,Crawfo M,Kittre B,Marcy J,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,225,Field,0.876,0.481,Endzone B,0.388,0.446,yds,17.8,1.8,17.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,43,D,2,1,Defense,Pull,,,Grant T,,Falat E,Peters B,Cao C,Jaffe M,Johnso C,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,283,Endzone B,0.061,0.464,Field,0.181,0.343,yds,67.0,6.5,66.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,43,D,2,1,Defense,Goal,,,Anonymous,,Falat E,Peters B,Cao C,Jaffe M,Johnso C,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,324,Field,0.181,0.371,Endzone B,0.196,0.248,yds,69.7,6.6,-69.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,OpponentPull,Anonymous,Anonymous,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,378,Field,0.993,0.701,Field,0.240,0.192,yds,66.1,27.2,-60.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Roeder S,Joye A,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,386,Field,0.243,0.198,Field,0.253,0.361,yds,8.7,8.7,0.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Joye A,Sanche M,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,389,Field,0.253,0.361,Field,0.385,0.515,yds,13.4,8.3,10.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Sanche M,Ham S,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,395,Field,0.385,0.515,Field,0.922,0.605,yds,43.3,4.8,43.0,
