Year,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2018,pittsburgh_thunderbirds,madison_radicals,13,29,355,287,58,10,6.449000000000002,27.307692307692307,0.8084507042253521,0.8722358722358723,0.9795221843003413,0
2018,pittsburgh_thunderbirds,chicago_wildfire,15,20,235,185,43,7,5.109733333333334,15.666666666666666,0.7872340425531915,0.8608058608058609,0.9736842105263158,0
2018,pittsburgh_thunderbirds,detroit_mechanix,20,19,282,205,60,17,5.8588000000000005,14.1,0.7269503546099291,0.8417910447761194,0.9669811320754716,1
2018,pittsburgh_thunderbirds,detroit_mechanix,32,10,217,158,39,20,4.907966666666667,6.78125,0.728110599078341,0.857707509881423,0.9813664596273292,1
2018,pittsburgh_thunderbirds,detroit_mechanix,17,16,158,114,30,14,4.96911111111111,9.294117647058824,0.7215189873417721,0.8681318681318682,0.95,1
2018,pittsburgh_thunderbirds,indianapolis_alleycats,18,27,246,200,39,7,5.648230769230768,13.666666666666666,0.8130081300813008,0.8785714285714286,0.975609756097561,0
2018,pittsburgh_thunderbirds,minnesota_wind_chill,29,28,282,241,30,11,6.0818666666666665,9.724137931034482,0.8546099290780141,0.9067524115755627,0.9958677685950413,1
2018,pittsburgh_thunderbirds,madison_radicals,21,25,337,306,27,4,4.832450000000001,16.047619047619047,0.9080118694362018,0.930939226519337,0.9935064935064936,0
2018,pittsburgh_thunderbirds,dc_breeze,11,20,216,158,49,9,5.9137,19.636363636363637,0.7314814814814815,0.833976833976834,0.9634146341463414,0
2018,pittsburgh_thunderbirds,minnesota_windchill,21,33,261,206,45,10,4.911095238095238,12.428571428571429,0.789272030651341,0.8729096989966555,0.9671361502347418,0
2018,pittsburgh_thunderbirds,indianapolis_alleycats,18,27,264,204,51,9,4.521555555555555,14.666666666666666,0.7727272727272727,0.8488745980707395,0.9807692307692307,0
2018,pittsburgh_thunderbirds,chicago_wildfire,16,21,243,193,37,13,5.301823529411765,15.1875,0.7942386831275721,0.8804347826086957,0.9796954314720813,0
2018,pittsburgh_thunderbirds,indianapolis_alleycats,24,27,277,235,28,14,5.873874999999999,11.541666666666666,0.8483754512635379,0.920265780730897,0.9832635983263598,0
2018,pittsburgh_thunderbirds,philadelphia_pheonix,21,30,306,256,41,9,6.015600000000001,14.571428571428571,0.8366013071895425,0.8895348837209303,0.9884169884169884,0
2018,dallas_roughnecks,austin_sol,27,23,265,208,38,19,4.184296296296297,9.814814814814815,0.7849056603773585,0.8803986710963455,0.9904761904761905,1
2018,dallas_roughnecks,new_york_empire,32,30,280,253,18,9,5.655558823529411,8.75,0.9035714285714286,0.9395973154362416,1.0,1
