Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,OpponentPull,Anonymous,Anonymous,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,0,Endzone B,0.069,0.683,Field,0.046,0.290,yds,80.5,21.0,-77.7,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Burden,Goderre,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,8,Field,0.036,0.288,Field,0.072,0.508,yds,12.1,11.7,2.8,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Goderre,Burden,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,12,Field,0.072,0.508,Field,0.191,0.288,yds,15.1,11.7,9.5,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Burden,Goderre,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,16,Field,0.191,0.288,Field,0.125,0.702,yds,22.7,22.1,-5.3,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Goderre,Cabot,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,20,Field,0.125,0.702,Field,0.080,0.446,yds,14.1,13.6,-3.6,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Cabot,Malik,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,24,Field,0.080,0.446,Field,0.246,0.239,yds,17.2,11.0,13.2,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Catch,Malik,Quentin,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,28,Field,0.246,0.239,Field,0.320,0.504,yds,15.3,14.1,5.9,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Offense,Drop,Quentin,Cabot,,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,32,Field,0.320,0.504,Field,0.156,0.352,yds,15.4,8.1,-13.1,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,48,Field,0.159,0.352,Field,0.011,0.545,yds,15.7,10.3,-11.8,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,61,Field,0.011,0.545,Field,0.077,0.636,yds,7.2,4.8,5.3,
2018-07-07 18:15,AUDL,Toronto Rush,67,O,0,1,Defense,Goal,,,Anonymous,,Malik,Nas,Vallee,Cabot,Goderre,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,65,Field,0.077,0.636,Endzone A,0.579,0.431,yds,18.2,10.9,-14.6,
2018-07-07 18:15,AUDL,Toronto Rush,60,O,0,2,Offense,OpponentPull,Anonymous,Anonymous,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,118,Endzone A,0.886,0.271,Field,0.911,0.240,yds,75.2,1.7,-75.2,
2018-07-07 18:15,AUDL,Toronto Rush,60,O,0,2,Offense,Catch,Goderre,Saunders,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,128,Field,0.941,0.245,Field,0.914,0.481,yds,12.8,12.6,2.1,
2018-07-07 18:15,AUDL,Toronto Rush,60,O,0,2,Offense,Catch,Saunders,Burden,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,132,Field,0.914,0.481,Field,0.809,0.751,yds,16.7,14.4,8.4,
2018-07-07 18:15,AUDL,Toronto Rush,60,O,0,2,Offense,Catch,Burden,Malik,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,137,Field,0.809,0.751,Field,0.600,0.894,yds,18.3,7.6,16.7,
